Dataset,Class,Method,DTW,ShapeDTW,SoftDTW,KDTW,MSM,SBD
Cricket,3.0,DBA,98.8033151664154,10555.113981479242,9321.50760204459,0.0,5796.639268174147,0.7760589603397683
Cricket,3.0,Shape-DBA,46.85332026244837,2504.517835227892,1138.254143775575,0.0,2894.624214365309,0.3035881842066664
Cricket,3.0,Soft-DBA,100.9959146146124,11070.559955411834,9786.70561758846,0.0,5870.245632749731,0.77602918142034
Cricket,3.0,TEKA,108.79621126330169,13514.87982361598,11472.709494836825,0.0,6267.155131826422,0.8002017430648439
Cricket,4.0,DBA,107.752441215033,11875.318952444766,10700.871334346768,0.0,5311.949288262582,0.7804523584108684
Cricket,4.0,Shape-DBA,16.74993286607066,332.68843438190845,-1577.057381157886,2.5726975753745506e-150,1266.2573865356107,0.0918501658999979
Cricket,4.0,Soft-DBA,109.73519162296012,12441.602401220363,11138.653150783235,0.0,5308.893505673012,0.7876498892760504
Cricket,4.0,TEKA,109.972958528712,12462.313007148934,11196.56848779154,0.0,5278.078555774994,0.7866772209384313
Cricket,5.0,DBA,94.27923361528356,9519.752816398095,7947.716217079872,0.0,4967.5280704771085,0.8295276946392889
Cricket,5.0,Shape-DBA,32.85804543750604,1308.049243162199,-395.3595495384705,0.0,2014.6568607617548,0.219864682366117
Cricket,5.0,Soft-DBA,95.9846675232414,9912.939386725538,8270.574031162687,0.0,4975.593022352797,0.8272245504108154
Cricket,5.0,TEKA,95.40786852351788,9894.926413536052,8130.078965220617,0.0,4906.464506365811,0.8298017153459545
Cricket,6.0,DBA,97.34829392243417,10675.762301100767,9091.14023383228,0.0,6030.403247930158,0.8082566010091699
Cricket,6.0,Shape-DBA,49.30801384417466,2907.3735305115088,1529.720091996851,0.0,3071.567446187866,0.3365012412110861
Cricket,6.0,Soft-DBA,100.15696142568724,11190.964757378952,9659.883020254938,0.0,6108.857373657798,0.8075528869900653
Cricket,6.0,TEKA,108.3490061476589,13387.452431350635,11405.55994131294,0.0,6479.90118349739,0.832844220455387
Cricket,7.0,DBA,95.3305911594863,9930.150875597395,8425.049311974077,0.0,5489.7948347831925,0.807501125592736
Cricket,7.0,Shape-DBA,47.64222035932822,2700.8239827565853,1231.774075730532,0.0,2827.319301797409,0.3334851496827455
Cricket,7.0,Soft-DBA,97.2138745486193,10460.610512877434,8815.456992886571,0.0,5534.653237177182,0.805501023329933
Cricket,7.0,TEKA,106.04619414067848,12556.869039159665,10712.08160111563,0.0,5820.136218758771,0.8218713923514346
Cricket,8.0,DBA,90.40946745193698,9021.262941822337,7635.153463045427,0.0,5945.329526967805,0.8076379399204662
Cricket,8.0,Shape-DBA,45.07446753571266,2630.335556447485,1180.3062854518068,0.0,3008.808871390923,0.2801619105448296
Cricket,8.0,Soft-DBA,94.0906759868208,9998.369482391485,8350.64656973745,0.0,6049.644364054198,0.8098412259309256
Cricket,8.0,TEKA,103.0822711234614,11872.82608255529,10115.85321650362,0.0,6274.783920865421,0.8255134632988308
Cricket,9.0,DBA,94.20009105715197,10204.545287208715,8436.09986404005,0.0,5832.742667166301,0.7798781631946007
Cricket,9.0,Shape-DBA,44.188638327070535,2348.339656208564,1008.8372448896116,0.0,2717.163143724183,0.3282866277510414
Cricket,9.0,Soft-DBA,97.13800734915203,10861.141026538147,8990.325129541992,0.0,5899.552655508992,0.7817063533153428
Cricket,9.0,TEKA,104.29836602543158,12925.161604520124,10493.275155582096,0.0,6321.736287870046,0.7939869860310242
NATOPS,1.0,DBA,41.02354546575942,1766.078375547744,1681.8078279414003,1.8625263070922838e-175,1172.8264333188915,0.916256809528903
